height,block_time,num_txs,marker_present,extended_proposal_bytes,fsm_state,zk_proof_ref_present,other_tx_bytes,likely_recovery_proof_tx
97,2026-08-12T16:43:11.225698218Z,1,True,248,SOVEREIGN,False,0,False
98,2026-08-12T16:43:12.44415026Z,1,True,248,SOVEREIGN,False,0,False
99,2026-08-12T16:43:13.655606719Z,1,True,248,SOVEREIGN,False,0,False
100,2026-08-12T16:43:14.828924595Z,1,True,248,SOVEREIGN,False,0,False
101,2026-08-12T16:43:15.994763512Z,1,True,248,SOVEREIGN,False,0,False
102,2026-08-12T16:43:17.202791762Z,1,True,248,SOVEREIGN,False,0,False
103,2026-08-12T16:43:18.414096721Z,1,True,248,SOVEREIGN,False,0,False
104,2026-08-12T16:43:19.586630888Z,1,True,248,SOVEREIGN,False,0,False
105,2026-08-12T16:43:20.720530041Z,1,True,248,SOVEREIGN,False,0,False
106,2026-08-12T16:43:21.949839875Z,1,True,248,SOVEREIGN,False,0,False
107,2026-08-12T16:43:23.155158751Z,1,True,248,SOVEREIGN,False,0,False
108,2026-08-12T16:43:24.43793296Z,1,True,248,SOVEREIGN,False,0,False
109,2026-08-12T16:43:25.669039085Z,1,True,248,SOVEREIGN,False,0,False
110,2026-08-12T16:43:26.891355419Z,1,True,248,SOVEREIGN,False,0,False
111,2026-08-12T16:43:28.098587962Z,1,True,249,SOVEREIGN,False,0,False
112,2026-08-12T16:43:29.39303342Z,1,True,249,SOVEREIGN,False,0,False
113,2026-08-12T16:43:30.625746588Z,1,True,249,SOVEREIGN,False,0,False
114,2026-08-12T16:43:31.842906963Z,1,True,249,SOVEREIGN,False,0,False
115,2026-08-12T16:43:33.056401256Z,1,True,249,SOVEREIGN,False,0,False
116,2026-08-12T16:43:34.338601256Z,1,True,249,SOVEREIGN,False,0,False
117,2026-08-12T16:43:35.585790423Z,1,True,249,SOVEREIGN,False,0,False
118,2026-08-12T16:43:36.794150549Z,1,True,249,SOVEREIGN,False,0,False
119,2026-08-12T16:43:38.0092423Z,1,True,249,SOVEREIGN,False,0,False
